-------------------------------------------------------------------------------- 
---           PROCESO DE CARGA DE RETENCIONES ARCV FARMATODO VE              --- 
-------------------------------------------------------------------------------- 
  NOMBRE ARCHIVO:    \\desarrollo-ws\Respaldo_ProcesosTP\In\OrdendeProcesos\Comunidades\Hub-04-Farmatodo\Financiero\ARCV\arcv.txt
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 5563941 PROVEEDOR: GRASS C.A. CODIGO: 5563 LINEA: 38
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 5182904 PROVEEDOR: INVERSORA ROMAGIO, C.A CODIGO: 5182 LINEA: 47
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 3
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 5608939 PROVEEDOR: INVERSIONES EDIDORO C.A. CODIGO: 5608 LINEA: 51
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 4
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 2649942 PROVEEDOR: ANTONIO DE LA BLANCA GARCIA CODIGO: 2649 LINEA: 56
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 7
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 5249967 PROVEEDOR: UNIFOREST IND. MANAGEMENT LTD CODIGO: 5249 LINEA: 64
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 1
19/10/2017 04:06:07 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 5426985 PROVEEDOR: INVERSIONES MILLENIUM C.A. CODIGO: 5426 LINEA: 66
19/10/2017 04:06:07 p.m.,  DETALLES ASOCIADOS: 2
19/10/2017 04:06:08 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 57061009 PROVEEDOR: CORPORACION INTELEC C.A. CODIGO: 5706 LINEA: 69
19/10/2017 04:06:08 p.m.,  DETALLES ASOCIADOS: 1
19/10/2017 04:06:08 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 28002014 PROVEEDOR: MILAGROS JOSEFINA VALERIO AREINAMO CODIGO: 2800 LINEA: 71
19/10/2017 04:06:08 p.m.,  DETALLES ASOCIADOS: 9
19/10/2017 04:06:08 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 49133174 PROVEEDOR: CARPINTERIA CARPITEC 43 C.A. CODIGO: 4913 LINEA: 81
19/10/2017 04:06:08 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:08 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 23582024 PROVEEDOR: TUY GRUAS C.A. CODIGO: 2358 LINEA: 90
19/10/2017 04:06:08 p.m.,  DETALLES ASOCIADOS: 9
19/10/2017 04:06:08 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 58032027 PROVEEDOR: SERVICIOS SOLANO C.A. CODIGO: 5803 LINEA: 100
19/10/2017 04:06:08 p.m.,  DETALLES ASOCIADOS: 6
19/10/2017 04:06:08 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 27402036 PROVEEDOR: PRODUCTOS DE ARCILLA C.A. CODIGO: 2740 LINEA: 107
19/10/2017 04:06:08 p.m.,  DETALLES ASOCIADOS: 5
19/10/2017 04:06:08 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 26322052 PROVEEDOR: DAVID OCHANDO PONCE CODIGO: 2632 LINEA: 113
19/10/2017 04:06:08 p.m.,  DETALLES ASOCIADOS: 3
19/10/2017 04:06:08 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 56622469 PROVEEDOR: SERVICIOS METAL-GIGA, C.A. CODIGO: 5662 LINEA: 117
19/10/2017 04:06:08 p.m.,  DETALLES ASOCIADOS: 6
19/10/2017 04:06:08 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 48722489 PROVEEDOR: PROYECTOS VENCOL 2023, C.A. CODIGO: 4872 LINEA: 124
19/10/2017 04:06:08 p.m.,  DETALLES ASOCIADOS: 1
19/10/2017 04:06:08 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 50522166 PROVEEDOR: TRANSPORTE MARX, C.A. CODIGO: 5052 LINEA: 126
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 50042215 PROVEEDOR: MULTISERVICIOS ELECTRONICOS PINATE 19, C.A CODIGO: 5004 LINEA: 135
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 27572226 PROVEEDOR: EDITORIAL NOTITARDE C.A. CODIGO: 2757 LINEA: 144
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 1
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 53312242 PROVEEDOR: SERVICIOS REFRIMAR C.A CODIGO: 5331 LINEA: 146
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 2
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 54552260 PROVEEDOR: FX  CRISAFULLI C.A CODIGO: 5455 LINEA: 149
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 7
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 27372284 PROVEEDOR: FUNDACION METALMECANICA PARA CAP INDUST CODIGO: 2737 LINEA: 157
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 2
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 64972309 PROVEEDOR: WING GEM HUNG SIEM CODIGO: 6497 LINEA: 160
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 2
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 23732394 PROVEEDOR: M. UZCATEGUI  ASOCIADOS MUZUR CODIGO: 2373 LINEA: 163
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 7
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 48322400 PROVEEDOR: INVERSIONES MASTER 2008, C.A. CODIGO: 4832 LINEA: 171
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 7
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 62572774 PROVEEDOR: PROMOTORA PANAMERICANA, C.A CODIGO: 6257 LINEA: 179
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 10
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 51192776 PROVEEDOR: TRANSPORTE HERNANDEZ MEDINA, C.A CODIGO: 5119 LINEA: 190
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 7
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 48112787 PROVEEDOR: ASOCIACION COOPERATIVA ALTA TENSION R.S CODIGO: 4811 LINEA: 198
19/10/2017 04:06:09 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:09 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 26142797 PROVEEDOR: BENITA DEL CARMEN UMBRIA TERAN CODIGO: 2614 LINEA: 207
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 3
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 28182808 PROVEEDOR: INVERSIONES BRICKET C.A. CODIGO: 2818 LINEA: 211
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 48812523 PROVEEDOR: GRIN INVERSIONES 2008, C.A CODIGO: 4881 LINEA: 220
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 2
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 58382579 PROVEEDOR: AVANTEL SISTEMAS C.A. CODIGO: 5838 LINEA: 223
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 4
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 49932586 PROVEEDOR: SERVICIOS ARTE JARDIN 2020, C.A. CODIGO: 4993 LINEA: 228
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 25782587 PROVEEDOR: MOISES RENDON OROPEZA CODIGO: 2578 LINEA: 237
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 4
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 36802602 PROVEEDOR: JESUS TADEO VELASQUEZ URDANETA CODIGO: 3680 LINEA: 242
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 4
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 24222605 PROVEEDOR: INVERSIONES MELSHERMAR C.A. CODIGO: 2422 LINEA: 247
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 5
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 56892606 PROVEEDOR: IMAGINARI ART, C.A. CODIGO: 5689 LINEA: 253
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 6
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 56962613 PROVEEDOR: ENTRUST CONSULTORES, C.A. CODIGO: 5696 LINEA: 260
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 51342622 PROVEEDOR: RADIO MOVIL DIGITAL R.M.D. VENEZUELA C.A. CODIGO: 5134 LINEA: 269
19/10/2017 04:06:10 p.m.,  DETALLES ASOCIADOS: 6
19/10/2017 04:06:10 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 60842641 PROVEEDOR: INVERSIONES VALLETTA 101004, C.A. CODIGO: 6084 LINEA: 276
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 7
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 27012702 PROVEEDOR: C.A. EMBOTELLADORA OCCIDENTAL CODIGO: 2701 LINEA: 284
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 6
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 63352745 PROVEEDOR: TRANSPORTE TORRELLAS 2006, C.A CODIGO: 6335 LINEA: 291
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 56563072 PROVEEDOR: MULTISERVICIOS JG2003, C.A. CODIGO: 5656 LINEA: 300
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 4
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 59443080 PROVEEDOR: KALAS C.A CODIGO: 5944 LINEA: 305
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 3
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 53823108 PROVEEDOR: ADMINISTRADORA 2441 C.A CODIGO: 5382 LINEA: 309
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 7
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 33342973 PROVEEDOR: JOSEFINA  VALDES MACHADO CODIGO: 3334 LINEA: 317
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 6
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 33403054 PROVEEDOR: JOSE GREGORIO LAGO LANDAETA CODIGO: 3340 LINEA: 324
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 63923173 PROVEEDOR: INVERSIONES ARB, C.A CODIGO: 6392 LINEA: 333
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 7
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 22373186 PROVEEDOR: D EMPAIRE REYNA ABOGADOS CODIGO: 2237 LINEA: 341
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 1
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 59393201 PROVEEDOR: METALURGICA 7018, C.A CODIGO: 5939 LINEA: 343
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 4
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 30393232 PROVEEDOR: JORGE ENRIQUE MUCHACHO JUGO CODIGO: 3039 LINEA: 348
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 6
19/10/2017 04:06:11 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 25583282 PROVEEDOR: IMPORTACION Y DISTRIBUCION LUIS RIVAS, F.P. CODIGO: 2558 LINEA: 355
19/10/2017 04:06:11 p.m.,  DETALLES ASOCIADOS: 5
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 54943558 PROVEEDOR: DAMICO CONSULTORES Y ASOCIADOS C.A. CODIGO: 5494 LINEA: 361
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 3
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 28463574 PROVEEDOR: FRANCISCO MANUEL DEL CASTILLO SANCHEZ CODIGO: 2846 LINEA: 365
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 11
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 64633579 PROVEEDOR: INVERSIONES TRANSVALLSS 2001 C.A CODIGO: 6463 LINEA: 377
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 6
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 52623600 PROVEEDOR: PROYECTOS AR C.A. CODIGO: 5262 LINEA: 384
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 8
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 53093658 PROVEEDOR: CORPORACION LANTANA CA CODIGO: 5309 LINEA: 393
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 1
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 33253724 PROVEEDOR: H.C CONSTRUCTODO CODIGO: 3325 LINEA: 395
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 2
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 32843817 PROVEEDOR: CARLOS JOSE PINANGO CHIRINOS CODIGO: 3284 LINEA: 398
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 3
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 57643825 PROVEEDOR: EL CHEF DE LAS AREPAS 3000, C.A. CODIGO: 5764 LINEA: 402
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 1
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 52123852 PROVEEDOR: SEGURIDAD Y VIGILANCA INMEDIATA SEGUVINCA, C.A. CODIGO: 5212 LINEA: 404
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 4
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 61983919 PROVEEDOR: AESIR SOLUTIONS, C.A CODIGO: 6198 LINEA: 409
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 5
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 50863922 PROVEEDOR: ELECTRONICA Y MANTENIMIENTO EDES, C.A. CODIGO: 5086 LINEA: 415
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 3
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 58283967 PROVEEDOR: SERVICIOS Y MANTENIMIENTOS MANSERCA, C.A. CODIGO: 5828 LINEA: 419
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 6
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 55906688 PROVEEDOR: BIOTECFAR, C.A. CODIGO: 5590 LINEA: 426
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 1
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 56397817 PROVEEDOR: INVERSIONES GREEN FLOWER C.A. CODIGO: 5639 LINEA: 428
19/10/2017 04:06:12 p.m.,  DETALLES ASOCIADOS: 5
19/10/2017 04:06:12 p.m.,  RETENCION ARCV INSERTADA. DOCUMENTO: 55007828 PROVEEDOR: COREDESCA,C.A. CODIGO: 5500 LINEA: 434
19/10/2017 04:06:13 p.m.,  DETALLES ASOCIADOS: 7
19/10/2017 04:06:13 p.m.,  --> ERROR - RIF PROVEEDOR VACIO -  DOCUMENTO: 10088206 LINEA: 442
19/10/2017 04:06:13 p.m.,  --> ERROR - RIF PROVEEDOR VACIO -  DOCUMENTO: 56448695644909 LINEA: 995
19/10/2017 04:06:13 p.m.,  --> ERROR - RIF PROVEEDOR VACIO -  DOCUMENTO: 52503099 LINEA: 2041
19/10/2017 04:06:13 p.m.,  --> ERROR - RIF PROVEEDOR VACIO -  DOCUMENTO: 56273202 LINEA: 2142
19/10/2017 04:06:13 p.m.,  --> ERROR - DIRECCION PROVEEDOR VACIO -  DOCUMENTO: 94838024 LINEA: 2429
19/10/2017 04:06:13 p.m.,  --> ERROR - RIF PROVEEDOR VACIO -  DOCUMENTO: 10112320 LINEA: 4019
19/10/2017 04:06:13 p.m.,  --> ERROR - RIF PROVEEDOR VACIO -  DOCUMENTO: 2349126087 LINEA: 4252
19/10/2017 04:06:13 p.m.,  --> ERROR - DIRECCION PROVEEDOR VACIO -  DOCUMENTO: 1409614157 LINEA: 4424
19/10/2017 04:06:13 p.m.,  TOTAL REGISTROS INSERTADOS: 72
19/10/2017 04:06:13 p.m.,  FINALIZO SATISFACTORIAMENTE EL PROCESO DE IMPORT DEL ARCHIVO: \\desarrollo-ws\Respaldo_ProcesosTP\In\Orden de Procesos\Comunidades\Hub-04 - Farmatodo\Financiero\ARCV\arcv.txt
